author,affiliation
https://dblp.org/pid/00/3680-3,"Northwestern University, Department of Mechanical Engineering, Evanston, IL, USA"
https://dblp.org/pid/01/3021-1,"Northwestern University, Chicago, IL, USA"
https://dblp.org/pid/01/4296-2,"Northwestern University, Feinberg School of Medicine, Chicago, IL, USA"
https://dblp.org/pid/02/7910-3,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/02/8125-5,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/03/11038,"Northwestern University Feinberg School of Medicine, Chicago, IL, USA"
https://dblp.org/pid/03/3880-4,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/03/4293-2,"Northwestern University, Department of Mechanical Engineering, Evanston, IL, USA"
https://dblp.org/pid/03/5954-10,"Southwestern University of Finance and Economics, Faculty of Business Administration, Chengdu, China"
https://dblp.org/pid/03/7225,"Northwestern University Medical School, Chicago, IL, USA"
https://dblp.org/pid/04/2024-7,"Northwestern University, Engineering Science and Applied Mathematics, Evanston, IL, USA"
https://dblp.org/pid/04/2088,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/04/563,"Northwestern University, Illinois, USA"
https://dblp.org/pid/04/6901-13,"Northwestern University, Department of Electrical and Computer Engineering, Evanston, IL, USA"
https://dblp.org/pid/05/1539-17,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/06/2293-74,"Southwestern University of Finance and Economics, School of Finance, Chengdu, China"
https://dblp.org/pid/08/7458-2,"Southwestern University of Finance and Economics, School of Economic Information Engineering, Chengdu, China"
https://dblp.org/pid/09/1963,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/09/2005-1,"Northwestern University, USA"
https://dblp.org/pid/10/217-7,"Northwestern University, Department of Electrical Engineering and Computer Science, Evanston, IL, USA"
https://dblp.org/pid/10/2185,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/10/6178-14,"Northwestern University, Department of Industrial Engineering and Management Science, Evanston, IL, USA"
https://dblp.org/pid/11/1186-2,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/117/2756-1,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/118/4502-5,"Western University, London, ON, Canada"
https://dblp.org/pid/118/9759,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/119/7321,"Northwestern University, Feinberg School of Medicine, Chicago, IL, USA"
https://dblp.org/pid/119/9741,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/12/1198-45,"Northwestern University, Department of Civil and Environmental Engineering, Evanston, IL, USA"
https://dblp.org/pid/12/4049-2,"Southwestern University of Finance and Economics, School of Computing and Artificial Intelligence, Chengdu, China"
https://dblp.org/pid/12/5838-13,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/12/7478-4,"Western University, London, ON, Canada"
https://dblp.org/pid/122/2828-5,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/124/5998,"Northwestern University, Department of Industrial Engineering and Management Sciences, Evanston, IL, USA"
https://dblp.org/pid/125/2813-3,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/125/8189-89,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/125/8823,"Western University, Department of Geography & Environment, London, ON, Canada"
https://dblp.org/pid/132/2225,"Western University, Faculty of Health Sciences, London, ON, Canada"
https://dblp.org/pid/133/0586,"Northwestern University, Evanston, Illinois, USA"
https://dblp.org/pid/133/6604,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/140/1229-3,"Northwestern University, Department of Industrial Engineering and Management Sciences, Evanston, IL, USA"
https://dblp.org/pid/144/2147-2,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/15/2546-2,"Northwestern University Feinberg School of Medicine, Chicago, IL, USA"
https://dblp.org/pid/150/0513,"Western University, London, ON, Canada"
https://dblp.org/pid/150/3271-2,"Northwestern University, Kellogg School of Management, Evanston, IL, USA"
https://dblp.org/pid/150/9413,"Northwestern University, Department of Computer Science, Evanston, IL, USA"
https://dblp.org/pid/153/1725,"Northwestern University, Evanston, Department of Physics"
https://dblp.org/pid/155/7432,"Northwestern University, Department of Biomedical Engineering, Evanston, IL, USA"
https://dblp.org/pid/158/5082-3,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/159/7089-2,"Western University, Department of Medical Biophysics, London, ON, Canada"
https://dblp.org/pid/16/11279,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/16/8533,"Northwestern University, USA"
https://dblp.org/pid/162/8838-3,"Northwestern University Evanston, IL, USA"
https://dblp.org/pid/165/5299,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/169/1986-3,"Northwestern University, EECS Department, Evanston, IL, USA"
https://dblp.org/pid/17/105,"Northwestern University, Illinois, USA"
https://dblp.org/pid/17/1651-7,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/17/221-23,"Southwestern University of Finance and Economics, School of Business Administration, Chengdu, China"
https://dblp.org/pid/17/3579,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/176/4568,"Northwestern University, IL. USA"
https://dblp.org/pid/177/7617,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/178/6298,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/179/4615,"Northwestern University, Department of Electrical Engineering and Computer Science, Evanston, IL, USA"
https://dblp.org/pid/179/9754-1,"Western University, Ivey Business School, London, Canada"
https://dblp.org/pid/18/1492,"Northwestern University, McCormick School of Engineering, Evanston, IL, USA"
https://dblp.org/pid/18/4208,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/181/2612-8,"Southwestern University of Finance and Economics, School of Economics Information Engineering, Chengdu, China"
https://dblp.org/pid/181/2689-5,"Southwestern University of Finance and Economics, School of Economic Information Engineering, Financial Intelligence and Financial Engineering Key Lab of Sichuan Province, Chengdu, China"
https://dblp.org/pid/181/2846-88,"Northwestern University, Feinberg School of Medicine, Chicago, IL, USA"
https://dblp.org/pid/185/9628,"Northwestern University, Evanston, USA"
https://dblp.org/pid/189/8128,"Western University, Department of Medical Biophysics, London, ON, Canada"
https://dblp.org/pid/19/1924-7,"Southwestern University of Finance and Economics, Department of Mathematics, Chengdu, China"
https://dblp.org/pid/19/212,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/19/3011-4,"Southwestern University of Finance and Economics, School of Economic Mathematics / School of Finance, Chengdu, China"
https://dblp.org/pid/19/4180-4,"Northwestern University, Computer Science Department, Evanston, IL, USA"
https://dblp.org/pid/194/6909-4,"Northwestern University, Department of Materials Science and Engineering, Evanston, IL, USA"
https://dblp.org/pid/195/7237,"Northwestern University, Medical School, Chicago, IL, USA"
https://dblp.org/pid/196/0382,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/20/4396-2,"Northwestern University, Department of Electrical Engineering and Computer Science, Evanston, IL, USA"
https://dblp.org/pid/20/5233-15,"Southwestern University of Finance and Economics, Chengdu, Sichuan, China"
https://dblp.org/pid/20/6440-1,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/21/2715-4,"Northwestern University, Department of Preventive Medicine, Chicago, IL, USA"
https://dblp.org/pid/212/3061,"Western University, London, ON, Canada"
https://dblp.org/pid/218/0426,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/222/8822,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/223/2101,"Western University, London, ON, Canada"
https://dblp.org/pid/224/0302,"Western University, Robarts Research Institute, London, ON, Canada"
https://dblp.org/pid/226/5688-1,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/233/3120,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/235/1471-1,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/238/6241-1,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/24/2948-3,"Southwestern University of Finance and Economics, School of Accounting, Chengdu, China"
https://dblp.org/pid/25/1439-2,"Northwestern University, Feinberg School of Medicine, Chicago, IL, USA"
https://dblp.org/pid/25/3528-11,"Northwestern University, Department of Biomedical Engineering, Evanston, IL, USA"
https://dblp.org/pid/25/5732-4,"Northwestern University, Department of Mathematics, Xi'an, China"
https://dblp.org/pid/26/3707-4,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/26/704,"Western University, London, ON, Canada"
https://dblp.org/pid/27/4744-3,"Northwestern University, Illinois"
https://dblp.org/pid/270/3856,"Western University, Department of Pathology and Laboratory Medicine, London, ON, Canada"
https://dblp.org/pid/275/4618,"Western University, London, ON, Canada"
https://dblp.org/pid/277/5683,"Northwestern University, Department of Electrical and Computer Engineering, Evanston, IL, USA"
https://dblp.org/pid/277/7402,"Southwestern University of Finance and Economics, School of Business Administration, Chengdu, China"
https://dblp.org/pid/28/7846-7,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/284/5916,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/29/2945-3,"Northwestern University, Medill Integrated Marketing Communications, Evanston, IL, USA"
https://dblp.org/pid/296/8425,"Western University, London, ON, Canada"
https://dblp.org/pid/301/9030,"Northwestern University, USA"
https://dblp.org/pid/31/10314,"Northwestern University, Illinois, USA"
https://dblp.org/pid/31/1849,"Western University, London, Canada"
https://dblp.org/pid/310/3397,"Northwestern University, Department of Mechanical Engineering, Evanston, IL, USA"
https://dblp.org/pid/315/0842-1,"Northwestern University, Kellogg School of Management, Evanston, IL, USA"
https://dblp.org/pid/32/5495-6,"Southwestern University of Finance and Economics, School of Business Administration, Chengdu, China"
https://dblp.org/pid/32/6740-2,"Northwestern University, Feinberg School of Medicine, Chicago, IL, USA"
https://dblp.org/pid/320/7420,"Northwestern University, Department of Mechanical Engineering, Evanston, IL, USA"
https://dblp.org/pid/322/6878,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/33/3099-7,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/33/5392-1,"Northwestern University, Department of Industrial Engineering and Management Sciences, Evanston, IL, USA"
https://dblp.org/pid/34/4583,"Northwestern University, Evanston, USA"
https://dblp.org/pid/346/3768,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/35/2899-1,"Northwestern University, Evanston, IL, USA"
https://dblp.org/pid/35/7092-336,"Southwestern University of Finance and Economics, Chengdu, China"
https://dblp.org/pid/35/837-22,"Southwestern University of Finance and Economics, Center of Statistical Research, China"
