author,affiliation
https://dblp.org/pid/02/320,"College of William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/15/4777-59,"The College of William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/181/2621-18,"College of William & Mary, VA, USA"
https://dblp.org/pid/192/2001-1,"College of William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/243/2972,"College of William & Mary, Department of Mathematics, Williamsburg, VA, USA"
https://dblp.org/pid/34/9409,"College of William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/372/6078,"College of William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/40/1251,"The College of William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/48/1390,"College of William & Mary, Mason School of Business, Williamsburg, VA, USA"
https://dblp.org/pid/51/2717,"College of William & Mary, VA, USA"
https://dblp.org/pid/53/8073-1,"William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/54/4158-8,"College of William & Mary, VA, USA"
https://dblp.org/pid/57/1240-1,"William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/61/500-2,"College of William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/76/6488-2,"The College of William & Mary, VA, USA"
https://dblp.org/pid/85/6542,"College of William & Mary, Raymond A. Mason School of Business, Williamsburg, VA, USA"
https://dblp.org/pid/93/2604-5,"College of William & Mary, Williamsburg, VA, USA"
https://dblp.org/pid/99/10261-2,"William & Mary, Williamsburg, Virginia, USA"
https://dblp.org/pid/r/JieRen-15,"College of William & Mary, Williamsburg, VA, USA"
