author,affiliation
https://dblp.org/pid/01/6368-21,"Worcester Polytechnic Institute, Department of Electrical and Computer Engineering, MA, USA"
https://dblp.org/pid/02/6754,"Worcester Polytechnic Institute, Department of Mathematical Sciences, MA, USA"
https://dblp.org/pid/03/838-3,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/06/2293-21,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/10/4661-24,Worcester Polytechnic Institute
https://dblp.org/pid/11/2586,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/13/1574-3,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/134/5661-6,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/137/6081-11,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/150/3109,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/16/0-12,"Worcester Polytechnic Institute, Department of Mathematical Sciences, Worcester, MA, USA"
https://dblp.org/pid/160/2002,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/165/2395-2,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/170/1844-1,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/175/3958,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/18/2729,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/18/6823-1,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/181/2525-5,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/192/2258,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/206/8215,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/21/4235-2,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/216/7478-1,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/221/1044-3,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/23/3629,"Worcester Polytechnic Institute, Department of Computer Science, MA, USA"
https://dblp.org/pid/232/8253,"Worcester Polytechnic Institute, Department of of Electrical and Computer Engineering, MA, USA"
https://dblp.org/pid/25/2601,"Worcester Polytechnic Institute, USA"
https://dblp.org/pid/260/5259,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/267/1111,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/27/973-4,"Worcester Polytechnic Institute, Department of Electrical and Computer Engineering, MA, USA"
https://dblp.org/pid/30/3009-4,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/32/465-9,"Worcester Polytechnic Institute, USA"
https://dblp.org/pid/33/4528-37,"Worcester Polytechnic Institute, Department of Biomedical Engineering, Worcester, MA, USA"
https://dblp.org/pid/333/8210,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/36/5434,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/37/10133-2,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/41/6317-3,"Worcester Polytechnic Institute, USA"
https://dblp.org/pid/43/3166-4,"Worcester Polytechnic Institute, Robotics Engineering Program, MA, USA"
https://dblp.org/pid/43/4709,"Worcester Polytechnic Institute; MA, USA"
https://dblp.org/pid/44/6474,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/45/6607-2,"Worcester Polytechnic Institute, Department of Computer Science, MA, USA"
https://dblp.org/pid/50/2484-4,"Worcester Polytechnic Institute, MA, USA"
https://dblp.org/pid/54/4089-11,"Worcester Polytechnic Institute, Robotics Engineering Department, Worcester, MA, USA"
https://dblp.org/pid/55/3523-1,"Worcester Polytechnic Institute, Worcester, MA, USA"
https://dblp.org/pid/55/957-25,"Worcester Polytechnic Institute, Department of Electrical and Computer Engineering, MA, USA"
