author,affiliation
https://dblp.org/pid/00/3274,"Yale University, Department of Economics, USA"
https://dblp.org/pid/00/6306-1,"Yale University, Departments of Biomedical Engineering and Diagnostic Radiology, New Haven, CT, USA"
https://dblp.org/pid/00/8526,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/02/1438-6,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/02/2229,Yale University
https://dblp.org/pid/03/3843,Yale University
https://dblp.org/pid/04/3348-32,"Yale University, Department of Molecular Biophysics and Biochemistry, New Haven, CT, USA"
https://dblp.org/pid/06/4240-12,"Yale University, Department of Diagnostic Radiology, New Haven, CT, USA"
https://dblp.org/pid/07/2202-3,"Yale University, Department of Mechanical Engineering and Materials Science, New Haven, CT, USA"
https://dblp.org/pid/07/6819-3,"Yale University, Department of Molecular Biophysics and Biochemistry, New Haven, CT, USA"
https://dblp.org/pid/10/1749-3,"Yale University. Department of Chemistry, New Heaven, CT, USA"
https://dblp.org/pid/10/8199,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/116/0645-4,"Yale University, New Haven, USA"
https://dblp.org/pid/116/4270,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/127/6939,"Yale University, Department of Electrical Engineering, New Haven, USA"
https://dblp.org/pid/129/1428,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/129/9449-1,"Yale University, Department of Biomedical Engineering, New Haven, USA"
https://dblp.org/pid/13/3479-3,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/13/5579,"Yale University School of Medicine, New Haven, CT, USA"
https://dblp.org/pid/13/6571,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/130/7774,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/132/9101,Yale University
https://dblp.org/pid/134/1099-5,"Yale University, Department of Biostatistics, New Haven, CT, USA"
https://dblp.org/pid/137/0673,"Yale University, Department of History of Science and Medicine, New Haven, CT, USA"
https://dblp.org/pid/138/8059,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/14/267,Yale University
https://dblp.org/pid/14/5359-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/140/7348-3,"Yale University, Department of Computer Science, New Haven, CT, USA"
https://dblp.org/pid/148/2252,"Yale University, USA"
https://dblp.org/pid/151/9754,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/153/2656,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/153/9296,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/162/0060-3,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/162/2263,"Yale University, New Haven, USA"
https://dblp.org/pid/168/2663,"Yale University, Department of Psychology, New Haven, CT, USA"
https://dblp.org/pid/18/10930,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/181/2832-145,"Yale University, Department of Biostatistics, New Haven, CT, USA"
https://dblp.org/pid/196/9714,"Yale University, Department of Economics, CT, USA"
https://dblp.org/pid/199/2237,"Yale University, CT, USA"
https://dblp.org/pid/20/5998-2,"Yale University, Yale Stem Cell Center, New Haven, CT, USA"
https://dblp.org/pid/202/3087-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/203/8539,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/21/3626-22,"Yale University, New Haven, CT USA"
https://dblp.org/pid/21/3626-9,"Yale University, Biomedical Engineering, New Haven, CT, USA"
https://dblp.org/pid/21/3839-19,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/222/2147,"Yale University, USA"
https://dblp.org/pid/239/5194-2,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/24/2219-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/26/4077,"Yale University School of Medicine, Department of Psychiatry, New Haven, CT, USA"
https://dblp.org/pid/26/6554-3,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/262/4005-3,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/266/7895,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/27/2552-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/27/3367-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/271/4897,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/271/8391-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/29/4680-7,"Yale University, Department of Electrical Engineering, New Haven, CT, USA"
https://dblp.org/pid/296/3981,"Yale University, Department of Statistics and Data Science, New Haven, CT, USA"
https://dblp.org/pid/30/7103-2,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/304/2162-1,"Yale University, Department of Statistics and Data Science, New Haven, CT, USA"
https://dblp.org/pid/308/9443,"Yale University School of Medicine, Department of Neurobiology, New Haven, CT, USA"
https://dblp.org/pid/31/4114-1,"Yale University, USA"
https://dblp.org/pid/319/4329-2,"Yale University, Department of Mechanical Engineering and Materials Science, New Haven, CT, USA"
https://dblp.org/pid/32/1704,"Yale University, School of Engineering & Applied Science"
https://dblp.org/pid/32/426-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/32/724-3,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/32/818,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/33/10873,"Yale University, Library, New Haven, CT, USA"
https://dblp.org/pid/33/6992,"Yale University, Department of Computer Science"
https://dblp.org/pid/336/3199,"Yale University, Department of Astronomy, New Haven, CT, USA"
https://dblp.org/pid/357/1902,"Yale University, Department of Computer Science, New Haven, CT, USA"
https://dblp.org/pid/367/5460,"Yale University, Department of Economics, New Haven, CT, USA"
https://dblp.org/pid/371/1019,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/371/1028,"Yale University, School of Medicine, Section of Biomedical Informatics and Data Science, New Haven, CT, USA"
https://dblp.org/pid/378/4068,"Yale University, Department of Computer Science, New Heaven, CT, USA"
https://dblp.org/pid/38/1392-2,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/38/6855-3,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/38/817,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/380/7686,"Yale University, New Heaven, CT, USA"
https://dblp.org/pid/39/6537-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/40/3413-1,"Yale University, Department of Diagnostic Radiology, New Haven, CT, USA"
https://dblp.org/pid/42/5691-2,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/42/962,Yale University
https://dblp.org/pid/46/6520,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/46/6823,Yale University
https://dblp.org/pid/47/91-4,"Yale University, Yale School of Medicine, New Haven, CT, USA"
https://dblp.org/pid/49/11120,"Yale University, New Haven, USA"
https://dblp.org/pid/49/5138,"Yale University, USA"
https://dblp.org/pid/49/6828,Yale University
https://dblp.org/pid/50/2726,"Yale University School of Medicine, New Haven, CT, USA"
https://dblp.org/pid/51/1679-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/52/4905,"Yale University, Yale Interdisciplinary Center for Bioethics, New Haven, CT, USA"
https://dblp.org/pid/53/9964,Yale University
https://dblp.org/pid/55/2594,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/57/5689,"Yale University, Department of Biomedical Engineering, New Haven, CT, USA"
https://dblp.org/pid/57/6192-11,"Yale University, Department of Electrical Engineering, School of Engineering and Applied Science, New Heaven, CT, USA"
https://dblp.org/pid/57/8036,"Yale University, Department of Psychology, USA"
https://dblp.org/pid/58/4582-4,"Yale University School of Medicine, Department of Psychiatry, New Haven, CT, USA"
https://dblp.org/pid/58/5359,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/59/4956,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/61/5343,"Yale University, Department of Mathematics, USA"
https://dblp.org/pid/62/5839-5,Yale University
https://dblp.org/pid/64/3901-1,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/64/8319,"Yale University, USA"
https://dblp.org/pid/65/2886-15,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/65/3628-9,"Yale University, School of Engineering and Applied Science, New Haven, CT, USA"
https://dblp.org/pid/66/8277,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/67/5132,Yale University
https://dblp.org/pid/69/4302,"Yale University, Department of Biostatistics, New Haven, CT, USA"
https://dblp.org/pid/69/6137-5,"Yale University School of Medicine, Department of Psychiatry, New Haven, CT, USA"
https://dblp.org/pid/70/1211-11,"Yale University, School of Public Health, New Haven, CT, USA"
https://dblp.org/pid/70/6155-1,"Yale University, Computer Science Department, New Haven, CT, USA"
https://dblp.org/pid/71/10020,"Yale University, West Haven, CT, USA"
https://dblp.org/pid/72/5786,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/74/2457,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/78/1542,"Yale University, Department of Electrical Engineering, New Haven, CT, USA"
https://dblp.org/pid/78/4478,"Yale University, Computer Systems Lab, New Haven, CT, USA"
https://dblp.org/pid/78/9339,"Yale University, Department of Linguistics, New Haven, CT, USA"
https://dblp.org/pid/79/2907-3,"Yale University, Department of Mathematics, New Haven, CT, USA"
https://dblp.org/pid/79/3998,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/80/5330,"Yale University, Department of Economics, USA"
https://dblp.org/pid/82/2234,"Yale University School of Medicine, Department of Diagnostic Radiology"
https://dblp.org/pid/83/863,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/84/1415-4,"Yale University, School of Medicine, New Haven, CT, USA"
https://dblp.org/pid/84/2583,"Yale University Medical School, New Haven, CT, USA"
https://dblp.org/pid/84/6804-5,"Yale University, Vision Laboratory, New Haven, CT, USA"
https://dblp.org/pid/85/3290,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/86/5728-3,"Yale University School of Medicine, New Haven, CT, USA"
https://dblp.org/pid/86/6642,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/87/1254-45,"Yale University, School of Medicine, Department of Psychiatry, New Haven, CT, USA"
https://dblp.org/pid/88/1185-6,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/88/5106-6,"Yale University, USA"
https://dblp.org/pid/91/10396,"Yale University School of Medicine, Department of Psychiatry, USA"
https://dblp.org/pid/93/3072,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/96/4489,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/a/DJAbadi,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/a/JamesAspnes,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/d/JulieDorsey,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/f/JoanFeigenbaum,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/f/MichaelCFu-2,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/f/MichaelJFischer,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/g/DavidGelernter,Yale University
https://dblp.org/pid/h/PaulHudak,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/k/RaviKannan,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/p/CharalamposPapamanthou,"Yale University, USA"
https://dblp.org/pid/p/RuzicaPiskac,"Yale University, Department of Computer Science, New Haven, CT, USA"
https://dblp.org/pid/r/DragomirRRadev,"Yale University, New Haven, CT, USA"
https://dblp.org/pid/s/AbrahamSilberschatz,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/s/DanielASpielman,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/s/ZhongShao,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/t/ValeryTrifonov,"Yale University, New Haven, Connecticut, USA"
https://dblp.org/pid/v/VanHVu,"Yale University, New Haven, USA"
https://dblp.org/pid/y/YangRichardYang,"Yale University, New Haven, CT, USA"
