author,affiliation
https://dblp.org/pid/00/2879,"New York University, Courant Institute of Mathematical Sciences, NY, USA"
https://dblp.org/pid/00/9162,"New York University Abu Dhab, UAE"
https://dblp.org/pid/01/11343,"York University, Toronto, Canada"
https://dblp.org/pid/01/161-2,"New York University, Department of Civil and Urban Engineering, Mechanical and Aerospace Engineering, NY, USA"
https://dblp.org/pid/01/4558,"New York University, NY, USA"
https://dblp.org/pid/01/5411,"York University, Institute for Research on Learning Technologies, Toronto, Canada"
https://dblp.org/pid/02/4380-7,"New York University, Tandon School of Engineering, Department of Mechanical and Aerospace Engineering, NY, USA"
https://dblp.org/pid/02/563-6,"New York University, Department of Computer Science and Engineering, New York City, NY, USA"
https://dblp.org/pid/02/5889-105,"New York University, Music and Audio Research Laboratory, New York, NY, USA"
https://dblp.org/pid/02/736-85,"New York University School of Medicine, Department of Anesthesiology, Perioperative Care, and Pain Medicine, New York, NY, USA"
https://dblp.org/pid/03/2884,"New York University, USA"
https://dblp.org/pid/03/2902-6,"New York University Tandon School of Engineering, Brooklyn, USA"
https://dblp.org/pid/03/5448,"New York University, Courant Institute of Mathematical Sciences, USA"
https://dblp.org/pid/03/6207,"New York University, NY, USA"
https://dblp.org/pid/03/6588-13,"New York University, Courant Institute, NY, USA"
https://dblp.org/pid/04/5404,"New York University Tandon School of Engineering, New York City, USA"
https://dblp.org/pid/04/5411,"New York University, Polytechnic Institute, Brooklyn, NY, USA"
https://dblp.org/pid/04/5616-3,"New York University, Brooklyn, NY, USA"
https://dblp.org/pid/05/2437-1,"New York University, NYU WIRELESS, New York City, NY, USA"
https://dblp.org/pid/05/264,"New York University, USA"
https://dblp.org/pid/05/4187-3,"New York University, NY, USA"
https://dblp.org/pid/05/5707,"New York University, USA"
https://dblp.org/pid/06/2063,"New York University, New York, Department of Chemistry, USA"
https://dblp.org/pid/06/3625-4,"York University, Department of Mathematics and Statistics, Toronto, ON, Canada"
https://dblp.org/pid/06/4240-1,"New York University School of Medicine, Department of Psychiatry / Neuroscience and Physiology, NY, USA"
https://dblp.org/pid/06/6143,"York University, Centre for Vision Research, Toronto, ON, Canada"
https://dblp.org/pid/06/87-1,"Tandon School of Engineering, New York University, Brooklyn, NY, USA"
https://dblp.org/pid/06/9379,"York University, Toronto, ON, Canada"
https://dblp.org/pid/07/1059-3,"New York University, Tandon School of Engineering,"
https://dblp.org/pid/07/34,"New York University, USA"
https://dblp.org/pid/07/4580-29,"New York University, Tandon School of Engineering, Brooklyn, NY, USA"
https://dblp.org/pid/07/6095-2,"New York University, Department of Biostatistics, NY, USA"
https://dblp.org/pid/08/1805,"New York University, New York, NY, USA"
https://dblp.org/pid/08/6810,"York University, Department of Psychology, North York, ON, Canada"
https://dblp.org/pid/08/8618-1,"New York University, NY, USA"
https://dblp.org/pid/09/3167,"York University, Department of Biology, Toronto, ON, Canada"
https://dblp.org/pid/09/348,"New York University, New York, USA"
https://dblp.org/pid/09/3666-62,"New York University, NY, USA"
https://dblp.org/pid/09/5661-6,"New York University, NY, USA"
https://dblp.org/pid/09/5820-1,"New York University, Brooklyn, NY, USA"
https://dblp.org/pid/10/163,"New York University, USA"
https://dblp.org/pid/10/239-6,"New York University, Department of Information, Operations and Management Sciences, Stern School of Business, NY, USA"
https://dblp.org/pid/10/2868,"New York University, Courant Institute, NY, USA"
https://dblp.org/pid/10/3489-7,"New York University, NY, USA"
https://dblp.org/pid/11/3019,"New York University Abu Dhabi, UEA"
https://dblp.org/pid/11/5123-4,"New York University, Leonard N. Stern School of Business, NY, USA"
https://dblp.org/pid/11/8310-3,"New York University Shanghai, China"
https://dblp.org/pid/116/0502,"New York University, Department of Linguistics, USA"
https://dblp.org/pid/116/1011-91,"New York University, Tandon School of Engineering, Department of Electrical and Computer Engineering, New York, NY, USA"
https://dblp.org/pid/117/7413-3,"New York University Shanghai, China"
https://dblp.org/pid/12/5222,"York University, Toronto, Ontario, Canada"
https://dblp.org/pid/12/5554-1,"New York University, Department of Psychology, New York, NY, USA"
https://dblp.org/pid/120/5865,"New York University, NY, USA"
https://dblp.org/pid/122/8658,New York University
https://dblp.org/pid/123/7745,"York University, Toronto, ON, Canada"
https://dblp.org/pid/124/8920,"New York University, Center for Data Science, NY, USA"
https://dblp.org/pid/125/4549,"New York University School of Medicine, Comprehensive Epilepsy Center, NY, USA"
https://dblp.org/pid/125/5225,"New York University School of Medicine, NY, USA"
https://dblp.org/pid/126/4582-3,"New York University Shanghai, China"
https://dblp.org/pid/129/0345,"York University, Toronto, ON, Canada"
https://dblp.org/pid/129/5730-2,"New York University, Brooklyn, NY, USA"
https://dblp.org/pid/130/4052,"New York University, Department of Media, Culture, and Communication, NY, USA"
https://dblp.org/pid/133/8494,"New York University, CUSP"
https://dblp.org/pid/135/5622-3,"New York University, NY, USA"
https://dblp.org/pid/135/5863,"New York University, New York, NY, USA"
https://dblp.org/pid/136/2582,"New York University, Department of Chemistry, New York City, NY, USA"
https://dblp.org/pid/138/2586-2,"New York University, NY, USA"
https://dblp.org/pid/146/3043,"New York University Abu Dhabi, UAE"
https://dblp.org/pid/15/4777-11,"New York University, Tandon School of Engineering, Brooklyn, NY, USA"
https://dblp.org/pid/15/4830-6,"New York University, NY, USA"
https://dblp.org/pid/15/5237,"New York University Tandon School of Engineering, New York City, USA"
https://dblp.org/pid/155/2862,"New York University, USA"
https://dblp.org/pid/16/10924,"New York University Tandon School of Engineering, New York City, USA"
https://dblp.org/pid/16/3216,"New York University Tandon School of Engineering, New York City, USA"
https://dblp.org/pid/16/3283-10,"New York University, Stern School of Business, NY, USA"
https://dblp.org/pid/16/5560-13,"New York University, Department of Computer Science, New York, NY, USA"
https://dblp.org/pid/16/6344-2,"New York University, Tandon School of Engineering, Department of Electrical and Computer Engineering, Control and Networks Lab, Brooklyn, NY, USA"
https://dblp.org/pid/160/8992,"New York University, Courant Institute of Mathematical Sciences and Center for Data Science, USA"
https://dblp.org/pid/162/2130-1,"New York University, ComNets Lab, Department of Computer Science, Abu Dhabi, UAE"
https://dblp.org/pid/164/3294-43,"New York University, Tandon School of Engineering, Department of Electrical and Computer Engineering, Brooklyn, NY, USA"
https://dblp.org/pid/164/5919,"New York University, USA"
https://dblp.org/pid/167/2933,"New York University, USA"
https://dblp.org/pid/169/3438,"New York University, NY, USA"
https://dblp.org/pid/17/5115-2,"New York University, USA"
https://dblp.org/pid/17/95-1,"New York University, Courant Institute of Mathematical Sciences, New York, NY, USA"
https://dblp.org/pid/172/0485,"New York University, USA"
https://dblp.org/pid/173/9264,"New York University, NY, USA"
https://dblp.org/pid/174/2460,"York University, Toronto, Canada"
https://dblp.org/pid/174/7199,"New York University, New York, NY, USA"
https://dblp.org/pid/175/9938-2,"New York University, Department of Psychology, NY, USA"
https://dblp.org/pid/179/6734,"York University, Toronto, ON, Canada"
https://dblp.org/pid/18/3060,"York University, Department Electrical Engineering & Computer Science, Toronto, ON, Canada"
https://dblp.org/pid/18/6358-2,"York University, Department of Chemistry, Toronto, Canada"
https://dblp.org/pid/18/7032-1,"York University, Department of Earth and Space Science and Engineering, Toronto, ON, Canada"
https://dblp.org/pid/181/2633-5,"New York University School of Medicine, Center for Human Genetics and Genomics, NY, USA"
https://dblp.org/pid/181/2812-155,"York University, Department of Earth and Space Science and Engineering, Toronto, ON, Canada"
https://dblp.org/pid/181/2820-111,"York University, Lassonde School of Engineering, Toronto, ON, Canada"
https://dblp.org/pid/181/4634,"New York University, Courant Institute of Mathematical Sciences, New York, NY, USA"
https://dblp.org/pid/186/8159,"York University, Toronto, Canada"
https://dblp.org/pid/189/0354-3,"York University, Department of Mechanical Engineering, Lassonde School of Engineering, Toronto, ON, Canada"
https://dblp.org/pid/193/7174-4,"New York University, NY, USA"
https://dblp.org/pid/194/0470,"Polytechnic Institute of New York University, Brooklyn, NY, USA"
https://dblp.org/pid/20/10175-2,"New York University, Courant Institute of Mathematical Sciences, NY, USA"
https://dblp.org/pid/20/241-10,"York University, Toronto, Ontario, Canada"
https://dblp.org/pid/20/6679-5,"New York University, Steinhardt School of Culture, Education and Human Development, NY, USA"
https://dblp.org/pid/20/9884,"New York University School of Medicine, New York City, NY, USA"
